,Source Directory,Source Filename,Album,Artist,Title,Extension
0,CalmTheMind,Bedroom Reader - Blue Feelings.ogg,Calm the Mind Radio,Bedroom Reader,Blue Feelings,ogg
1,CalmTheMind,Bedroom Reader - Living in a Backpack.ogg,Calm the Mind Radio,Bedroom Reader,Living in a Backpack,ogg
2,CalmTheMind,Bedroom Reader - Miles Away.ogg,Calm the Mind Radio,Bedroom Reader,Miles Away,ogg
3,CalmTheMind,Bedroom Reader - Top Grades Anxiety.ogg,Calm the Mind Radio,Bedroom Reader,Top Grades Anxiety,ogg
4,CalmTheMind,Brooklyn Cab Co - Hoodie Hangover.ogg,Calm the Mind Radio,Brooklyn Cab Co,Hoodie Hangover,ogg
5,CalmTheMind,Brooklyn Cab Co - Losing Da Cops.ogg,Calm the Mind Radio,Brooklyn Cab Co,Losing Da Cops,ogg
6,CalmTheMind,Brooklyn Cab Co - Sneaker Seeker.ogg,Calm the Mind Radio,Brooklyn Cab Co,Sneaker Seeker,ogg
7,CalmTheMind,Brooklyn Cab Co - Yellow Snow.ogg,Calm the Mind Radio,Brooklyn Cab Co,Yellow Snow,ogg
8,CalmTheMind,Holiday at Last - Beach Balls.ogg,Calm the Mind Radio,Holiday at Last,Beach Balls,ogg
9,CalmTheMind,Holiday at Last - Flight to Copacabana.ogg,Calm the Mind Radio,Holiday at Last,Flight to Copacabana,ogg
10,CalmTheMind,Holiday at Last - Margharita and a Pita.ogg,Calm the Mind Radio,Holiday at Last,Margharita and a Pita,ogg
11,CalmTheMind,Holiday at Last - Sunset Barbecue.ogg,Calm the Mind Radio,Holiday at Last,Sunset Barbecue,ogg
12,CalmTheMind,Lush Life - My Yacht is bigger than Yours.ogg,Calm the Mind Radio,Lush Life,My Yacht is bigger than Yours,ogg
13,CalmTheMind,Lush Life - Night in Dubai.ogg,Calm the Mind Radio,Lush Life,Night in Dubai,ogg
14,CalmTheMind,Lush Life - Olives and Martinis.ogg,Calm the Mind Radio,Lush Life,Olives and Martinis,ogg
15,CalmTheMind,Lush Life - Suits in Summertime.ogg,Calm the Mind Radio,Lush Life,Suits in Summertime,ogg
16,CampusRadio,All Time High - Helium.ogg,Campus Radio,All Time High,Helium,ogg
17,CampusRadio,All Time High - Teen Town.ogg,Campus Radio,All Time High,Teen Town,ogg
18,CampusRadio,All Time High - Whispers.ogg,Campus Radio,All Time High,Whispers,ogg
19,CampusRadio,Check For Pulse - Anywhere.ogg,Campus Radio,Check For Pulse,Anywhere,ogg
20,CampusRadio,Check For Pulse - I'm Not.ogg,Campus Radio,Check For Pulse,I'm Not,ogg
21,CampusRadio,Glendale Social Club - Crossfire.ogg,Campus Radio,Glendale Social Club,Crossfire,ogg
22,CampusRadio,Glendale Social Club - Long Story Short.ogg,Campus Radio,Glendale Social Club,Long Story Short,ogg
23,CampusRadio,Los Chick - Losing You.ogg,Campus Radio,Los Chick,Losing You,ogg
24,CampusRadio,Los Chick - Open Arms.ogg,Campus Radio,Los Chick,Open Arms,ogg
25,CampusRadio,River Twins - Everyone Else.ogg,Campus Radio,River Twins,Everyone Else,ogg
26,CampusRadio,River Twins - My Physical Bromance.ogg,Campus Radio,River Twins,My Physical Bromance,ogg
27,CampusRadio,River Twins - Something New.ogg,Campus Radio,River Twins,Something New,ogg
